timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703110666980,1092,HomePage,200,OK,Users 1-4,text,true,,805430,234,5,5,https://www.youtube.com/,143,0,25
1703110666980,143,HomePage-0,301,Moved Permanently,Users 1-4,text,true,,377,117,5,5,http://www.youtube.com/,143,0,25
1703110667124,948,HomePage-1,200,OK,Users 1-4,text,true,,805053,117,5,5,https://www.youtube.com/,456,0,181
1703110666491,1819,HomePage,200,OK,Users 1-1,text,true,,857858,234,5,5,https://www.youtube.com/,257,0,76
1703110666491,261,HomePage-0,301,Moved Permanently,Users 1-1,text,true,,377,117,5,5,http://www.youtube.com/,257,0,76
1703110666755,1555,HomePage-1,200,OK,Users 1-1,text,true,,857481,117,5,5,https://www.youtube.com/,610,0,412
1703110666585,2122,HomePage,200,OK,Users 1-2,text,true,,798942,234,5,5,https://www.youtube.com/,189,0,19
1703110666585,189,HomePage-0,301,Moved Permanently,Users 1-2,text,true,,377,117,5,5,http://www.youtube.com/,189,0,19
1703110666775,1932,HomePage-1,200,OK,Users 1-2,text,true,,798565,117,5,5,https://www.youtube.com/,593,0,392
1703110666783,1939,HomePage,200,OK,Users 1-3,text,true,,857738,234,5,5,https://www.youtube.com/,199,0,24
1703110666783,199,HomePage-0,301,Moved Permanently,Users 1-3,text,true,,377,117,5,5,http://www.youtube.com/,199,0,24
1703110666982,1740,HomePage-1,200,OK,Users 1-3,text,true,,857361,117,5,5,https://www.youtube.com/,380,0,185
1703110667178,1917,HomePage,200,OK,Users 1-5,text,true,,789512,234,5,5,https://www.youtube.com/,184,0,19
1703110667178,184,HomePage-0,301,Moved Permanently,Users 1-5,text,true,,377,117,5,5,http://www.youtube.com/,184,0,19
1703110667363,1732,HomePage-1,200,OK,Users 1-5,text,true,,789135,117,5,5,https://www.youtube.com/,408,0,199
1703110668096,1232,Trending,200,OK,Users 1-4,text,true,,1252661,380,5,5,https://www.youtube.com/feed/trending,117,0,0
1703110668096,117,Trending-0,301,Moved Permanently,Users 1-4,text,true,,385,125,5,5,http://www.youtube.com/trending,117,0,0
1703110668213,135,Trending-1,301,Moved Permanently,Users 1-4,text,true,,1676,125,5,5,https://www.youtube.com/trending,135,0,0
1703110668348,980,Trending-2,200,OK,Users 1-4,text,true,,1250600,130,5,5,https://www.youtube.com/feed/trending,150,0,0
1703110668315,1306,Trending,200,OK,Users 1-1,text,true,,1265467,380,5,5,https://www.youtube.com/feed/trending,130,0,0
1703110668315,130,Trending-0,301,Moved Permanently,Users 1-1,text,true,,385,125,5,5,http://www.youtube.com/trending,130,0,0
1703110668445,147,Trending-1,301,Moved Permanently,Users 1-1,text,true,,1676,125,5,5,https://www.youtube.com/trending,147,0,0
1703110668592,1029,Trending-2,200,OK,Users 1-1,text,true,,1263406,130,5,5,https://www.youtube.com/feed/trending,147,0,0
1703110668729,1680,Trending,200,OK,Users 1-3,text,true,,1255479,380,5,5,https://www.youtube.com/feed/trending,160,0,0
1703110668729,160,Trending-0,301,Moved Permanently,Users 1-3,text,true,,385,125,5,5,http://www.youtube.com/trending,160,0,0
1703110668889,142,Trending-1,301,Moved Permanently,Users 1-3,text,true,,1676,125,5,5,https://www.youtube.com/trending,142,0,0
1703110669031,1378,Trending-2,200,OK,Users 1-3,text,true,,1253418,130,5,5,https://www.youtube.com/feed/trending,156,0,0
1703110669335,1235,Music,200,OK,Users 1-4,text,true,,695869,298,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,395,0,0
1703110669335,395,Music-0,301,Moved Permanently,Users 1-4,text,true,,409,149,5,5,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,395,0,0
1703110669730,840,Music-1,200,OK,Users 1-4,text,true,,695460,149,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,144,0,0
1703110669629,1089,Music,200,OK,Users 1-1,text,true,,689094,298,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,116,0,0
1703110669629,116,Music-0,301,Moved Permanently,Users 1-1,text,true,,409,149,5,5,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,116,0,0
1703110669745,973,Music-1,200,OK,Users 1-1,text,true,,688685,149,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,162,0,0
1703110668714,2249,Trending,200,OK,Users 1-2,text,true,,1255735,380,5,5,https://www.youtube.com/feed/trending,140,0,0
1703110668714,140,Trending-0,301,Moved Permanently,Users 1-2,text,true,,385,125,5,5,http://www.youtube.com/trending,140,0,0
1703110668854,145,Trending-1,301,Moved Permanently,Users 1-2,text,true,,1676,125,5,5,https://www.youtube.com/trending,145,0,0
1703110669000,1963,Trending-2,200,OK,Users 1-2,text,true,,1253674,130,5,5,https://www.youtube.com/feed/trending,211,0,0
1703110670417,796,Music,200,OK,Users 1-3,text,true,,686801,298,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,133,0,0
1703110670417,133,Music-0,301,Moved Permanently,Users 1-3,text,true,,409,149,5,5,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,133,0,0
1703110670550,663,Music-1,200,OK,Users 1-3,text,true,,686392,149,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,139,0,0
1703110669098,2722,Trending,200,OK,Users 1-5,text,true,,1254630,380,5,5,https://www.youtube.com/feed/trending,391,0,0
1703110669098,391,Trending-0,301,Moved Permanently,Users 1-5,text,true,,385,125,5,5,http://www.youtube.com/trending,391,0,0
1703110669490,133,Trending-1,301,Moved Permanently,Users 1-5,text,true,,1676,125,5,5,https://www.youtube.com/trending,133,0,0
1703110669623,2197,Trending-2,200,OK,Users 1-5,text,true,,1252569,130,5,5,https://www.youtube.com/feed/trending,155,0,0
1703110670969,1025,Music,200,OK,Users 1-2,text,true,,684619,298,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,139,0,0
1703110670969,139,Music-0,301,Moved Permanently,Users 1-2,text,true,,409,149,5,5,http://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,139,0,0
1703110671108,886,Music-1,200,OK,Users 1-2,text,true,,684210,149,5,5,https://www.youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,166,0,0
1703110670575,1421,HomePage,200,OK,Users 1-4,text,true,,854798,234,5,5,https://www.youtube.com/,125,0,0
1703110670575,125,HomePage-0,301,Moved Permanently,Users 1-4,text,true,,377,117,5,5,http://www.youtube.com/,125,0,0
1703110670700,1296,HomePage-1,200,OK,Users 1-4,text,true,,854421,117,5,5,https://www.youtube.com/,203,0,0
1703110670722,1544,HomePage,200,OK,Users 1-1,text,true,,892454,234,5,5,https://www.youtube.com/,174,0,0
1703110670722,174,HomePage-0,301,Moved Permanently,Users 1-1,text,true,,377,117,5,5,http://www.youtube.com/,174,0,0
